English,Arabic
you,أنت
i,أنا
the,ال
to,ل
a,أ
s,ق
it,هو - هي
and,و
that,الذي - التي
t,ر
of,ل
is,يكون
in,في
what,ماذا
we,نحن
me,أنا
this,هذا
he,هو
for,ل
my,لي
on,على
have,يملك
your,لك
do,يفعل
was,كان
m,م
no,لا
not,لا
be,يكون
are,نكون
don,اِتَّشَح
re,يكرر
know,يعرف
can,يستطيع
with,مع
but,لكن
all,الجميع
so,لذا
just,فقط
there,هناك
here,هنا
they,هم
like,يحب
ll,ليرة لبنانية
get,يحصل
she,هي
go,يذهب
if,لو
right,يمين
out,خارج
about,عن
up,أعلى
at,في
him,له
now,الآن
oh,أوه
one,واحد
come,يأتي
well,حسنًا
her,ها
how,كيف
yeah,نعم
ve,لقد
will,سوف
got,يملك
want,يريد
think,يفكر
as,مثل
see,يرى
did,فعل
good,جيد
who,من
why,لماذا
from,من
let,يترك
his,له
yes,نعم
when,متى
going,ذاهب
time,وقت
an,ان
okay,تمام
back,خلف
look,ينظر
us,نحن
would,كان
them,هم
where,أين
were,كان
take,يأخذ
then,ثم
had,ملك
or,أو
been,كان
our,ملكنا
gonna,سوف أفعل
tell,يخبر
really,حقًا
man,رجل
some,بعض
say,يقول
hey,يا
could,استطاع
d,د
didn,لم يفعل ذلك
by,بواسطة
need,يحتاج
has,لديه
too,أيضاً
more,أكثر
way,طريق
down,تحت
make,يصنع
very,جداً
never,أبداً
only,فقط
people,الناس
over,زيادة
because,لأن
little,قليل
please,لو سمحت
love,حب
should,يجب
mean,يقصد
said,قال
sorry,آسف
give,يعطي
off,عن
am,أكون
thank,شكر
any,أي
two,اثنين
even,حتى
much,كثيراً
doing,عمل
sure,بالتأكيد
thing,شيء
these,هؤلاء
help,يساعد
first,أولاً
into,داخل
still,ما زال
find,يجد
life,حياة
sir,سيد
day,يوم
god,إله
work,عمل
their,هُم
uh,أوه
again,مرة أخرى
maybe,ربما
must,يجب
before,قبل
other,آخر
wait,انتظر
stop,قف
call,يتصل
after,بعد
won,فاز
talk,يتحدث
away,بعيد
than,من
home,بيت
night,ليلة
put,يضع
great,عظيم
those,أولئك
last,آخر
better,أحسن
everything,كل شئ
told,قال
mr.,السيد.
new,جديد
things,أشياء
always,دائماً
keep,يحفظ
long,طويل
years,سنين
leave,يترك
does,يفعل
money,مال
around,حول
doesn,لا
name,اسم
place,مكان
ever,أبدًا
feel,يشعر
guys,شباب
father,أب
guy,رجل
made,صنع
old,قديم
isn,ليس
which,أيّ
big,كبير
lot,كثير
done,منتهي
hello,مرحبًا
nice,لطيف - جيد
believe,يعتقد
girl,بنت
fine,بخير
thanks,شكرًا
wanted,مطلوب
kind,عطوف
coming,آت
house,منزل
every,كل
ok,نعم
being,كون
course,دورة
stay,يقضي
left,غادر
dad,أب
enough,كافٍ
came,أتى
may,يمكن
mother,الأم
wrong,خطأ
world,عالم
bad,سيء
might,قد
three,ثلاثة
today,اليوم
listen,يستمع
another,آخر
understand,يفهم
hear,يسمع
ask,بسأل
own,ملك
same,نفس
show,يعرض
else,آخر
kill,قتل
found,وجد
next,التالي
care,رعاية
car,سيارة
son,ابن
try,يحاول
woman,امرأة
went,ذهب
hi,أهلاً
dead,ميت
many,كثير
mind,عقل
wasn,كان
friend,صديق
best,أفضل
mom,أم
hell,جحيم
trying,تحاول
boy,ولد
job,وظيفة
saw,رأى
family,عائلة
real,حقيقي
baby,طفل
room,غرفة
wouldn,سوف
already,بالفعل
move,يتحرك
most,معظم
seen,مرئي
live,يعيش
miss,يفتقد
huh,هاه
shit,القرف
both,كلاهما
heard,سمع
once,مرة واحدة
ready,مستعد
head,رأس
called,مُسَمًّى
used,مستخدم
idea,فكرة
knew,عرف
hold,يمسك
happy,سعيد
door,باب
such,هذه
fuck,اللعنة
brother,أخ
also,أيضًا
pretty,جميل
bit,قليل
took,أخذ
haven,ملاذ
yet,حتى الآن
men,الرجال
whole,جميع
start,يبدأ
use,يستخدم
while,بينما
since,منذ
wife,زوجة
days,أيام
guess,يخمن
matter,موضوع
meet,يقابل
bring,يحضر
run,يجري
wanna,تريد
hard,صعب
ah,آه
alone,وحيد
myself,نفسي
school,مدرسة
gone,ذهب
um,أم
end,نهاية
saying,قائلا
phone,هاتف
play,يلعب
looks,يبدو
couldn,يمكن
few,عدد قليل
gotta,فلدي
ago,منذ
open,يفتح
anyone,أي شخص
killed,قتل
hope,يأمل
face,وجه
until,حتى
lost,ضائع
police,شرطة
excuse,عذر
turn,دور
case,قضية
wants,يريد
says,يقول
TRUE,حقيقي
die,يموت
